existence_confidence,target,lemmed_tweets,stemmed_tweets
0.634,1,pew center release report call federal leadership adaptation,pew center releas report call feder leadership adapt
1.0,1,pew center release report call federal leadership adaptation green energy,pew center releas report call feder leadership adapt green energi
0.6774,2,watch al gore sweatand isnt related warminggreat question oreillys jesse water,watch al gore sweatand isnt relat warminggreat question oreilli jess water
0.6495,1,letter dilemmafifty year ago teach preach,letter dilemmafifti year ago teach preach
1.0,1,letter dilemmafifty year ago teach preach,letter dilemmafifti year ago teach preach
0.6235,2,international liability contd whet transnationallaw appetite mother jones,intern liabil contd whet transnationallaw appetit mother jone
0.5254,0,market proposal libertarian lovelibertarians debate merit,market propos libertarian lovelibertarian debat merit
0.615,1,market proposal libertarian lovelibertarians debate merit,market propos libertarian lovelibertarian debat merit
1.0,0,gbjoe tolerant left deny youd guilty crime peace,gbjoe toler left deni youd guilti crime peac
1.0,1,plan b california brace changecalifornia lead fellow state mitigate,plan b california brace changecalifornia lead fellow state mitig
1.0,0,pen talk met revkin offer useful note realism headsand need head,pen talk met revkin offer use note realism headsand need head
0.6853,0,ggreenwald dont forget jon kyl world powerful denier maybe character limit kept list,ggreenwald dont forget jon kyl world power denier mayb charact limit kept list
0.6758,1,plan b california brace california lead fellow state mitigate,plan b california brace california lead fellow state mitig
0.6482,2,john decock secret plan address im lucky post outdated time c,john decock secret plan address im lucki post outdat time c
0.6628,1,kidney stone insurance company deal rise temperature true,kidney stone insur compani deal rise temperatur true
0.6661,0,yidwithlid joke govts new claim causeswelleverything,yidwithlid joke govt new claim causeswelleveryth
0.6443,0,gbjoe sea level rise carbon footprint al gore buy million estate ocean,gbjoe sea level rise carbon footprint al gore buy million estat ocean
0.6248,1,tolerant left deny youd guilty crime peace,toler left deni youd guilti crime peac
0.49700000000000005,0,sea level rise carbon footprint al gore buy million estate ocean,sea level rise carbon footprint al gore buy million estat ocean
0.4946,1,climatechange coverup,climatechang coverup
1.0,0,yeah footprint al hypocritical jackass,yeah footprint al hypocrit jackass
0.6582,1,brittariley spoke week discussion illuminate science art,brittariley spoke week discuss illumin scienc art
0.6946,0,tube parody like ipcc gop,tube parodi like ipcc gop
0.6267,1,nasa webby award science site today chance vote nasa,nasa webbi award scienc site today chanc vote nasa
1.0,2,ketye impression ppls world conf right mother earth pwccc cochabamba,kety impress ppl world conf right mother earth pwccc cochabamba
0.6671,0,fuck cold fuck,fuck cold fuck
1.0,1,epa make case green blog nytimescom green environment,epa make case green blog nytimescom green environ
0.6383,2,ensure participation indigenous people policy,ensur particip indigen peopl polici
0.5046,2,hide decline video creator say backlash effort cleanup climategate indiscretion newsbusters,hide declin video creator say backlash effort cleanup climateg indiscret newsbust
1.0,1,china go green security reason statistic,china go green secur reason statist
0.6835,2,chrissyh ensure participation indigenous people policy,chrissyh ensur particip indigen peopl polici
0.6656,2,climatecentral fab series agu lecture matthew nisbet frame public engagement,climatecentr fab seri agu lectur matthew nisbet frame public engag
0.6198,2,irish lead manufacturer nualight raise m funding round lead capital,irish led manufactur nualight rais m fund round led capit
0.6159,2,sg advisory group energy call new initiative bring clean energy poor,sg advisori group energi call new initi bring clean energi poor
0.6479,2,sg advisory group energy call new initiative bring clean energy poor,sg advisori group energi call new initi bring clean energi poor
0.6713,0,say crazymyfoxnation govt report say cause mental illness new cont,say crazymyfoxn govt report say caus mental ill new cont
0.6541,1,news earth day cochabamba mainstream green group cave climatereclaiming earth,news earth day cochabamba mainstream green group cave climatereclaim earth
1.0,0,profiteer obama energy official,profit obama energi offici
0.6254,1,wilsondasilva good journalism economist look science environment medium,wilsondasilva good journal economist look scienc environ media
0.6697,1,nytimesbusiness epa make case,nytimesbusi epa make case
0.3501,1,tube explanation like capandtrade ocra,tube explan like capandtrad ocra
0.68,2,mother earth text adopt recent people conference bolivia,mother earth text adopt recent peopl confer bolivia
0.6649,2,time obama show eye camera promise energy cost skyrocket bueller bueller ferris,time obama show eye camera promis energi cost skyrocket bueller bueller ferri
0.4412,0,nation load freight train load people like sheep slaughter,nation load freight train load peopl like sheep slaughter
1.0,1,open vein latism beinglatino ketye green climatechange wccpc,open vein latism beinglatino kety green climatechang wccpc
0.6449,2,hey unpay lip service notion woman agent woman chief,hey unpay lip servic notion women agent woman chief
0.6709999999999999,2,climatechange delay,climatechang delay
0.6864,0,dr stop reid like save world tcot teaparty rnc gop p,dr stop reid like save world tcot teaparti rnc gop p
0.3607,2,advance gender equality advancement social dimension unfcc talk accord tracy raczek,advanc gender equal advanc social dimens unfcc talk accord traci raczek
0.6305,2,new epa report indicator,new epa report indic
0.6396,2,nytimesscience epa make case,nytimessci epa make case
1.0,1,irish lead manufacturer nualight raise m funding round lead capital,irish led manufactur nualight rais m fund round led capit
0.6476,1,irish lead manufacturer nualight raise m funding round lead capital,irish led manufactur nualight rais m fund round led capit
0.6493,0,remember rightwing furor leak email rage goldman sachs email,rememb rightw furor leak email rage goldman sach email
0.6314,1,hmmm human activity warmingsee connection shorpy,hmmm human activ warmingse connect shorpi
0.6887,2,brooke shield upset do exist brooke shield upset report doe,brook shield upset doe exist brook shield upset report doe
0.6849,2,nytenvironment epa make case,nytenviron epa make case
0.6946,1,contrail manmade cloud harm agriculture ftsn social,contrail manmad cloud harm agricultur ftsn social
0.6465,2,mit sloan feed lead environmentally sustainable enterprise pose premiere threa,mit sloan feed lead environment sustain enterpris pose premier threa
0.5148,1,epa make case,epa make case
0.643,0,snarkandboobs heck do cold sudden al gore town speech,snarkandboob heck did cold sudden al gore town speech
0.6996,2,round talk host summit mexico news,round talk host summit mexico news
1.0,1,epa make case,epa make case
1.0,1,epa make case,epa make case
0.6048,0,talk iguana love vid frozen iguana fall tree,talk iguana love vid frozen iguana fall tree
1.0,1,epa make case epa release glossy report help american make sense clima,epa make case epa releas glossi report help american make sens clima
1.0,1,epa make case epa release glossy report help american make sense clima,epa make case epa releas glossi report help american make sens clima
0.6677,1,rank issue,rank issu
1.0,1,samboykin hispanic tackle high high priority,samboykin hispan tackl high high prioriti
1.0,1,hispanic tackle high high priority,hispan tackl high high prioriti
0.5644,0,projection false projection prediction concentration,project fals project predict concentr
1.0,1,epa issue report indicator,epa issu report indic
0.672,1,epa indicator report,epa indic report
1.0,2,round talk host summit mexico news,round talk host summit mexico news
0.6665,1,funnywhitedog ipsnews forest absorb carbon say activist redd indigenous,funnywhitedog ipsnew forest absorb carbon say activist redd indigen
1.0,1,grape best earlywarning effect theatlantic,grape best earlywarn effect theatlant
0.7368,1,rank issue cleantech,rank issu cleantech
0.6713,2,rank issue,rank issu
0.6364,1,rank issue,rank issu
0.6498,1,loveandstyle insane vermont snow seriously say doesnt exist,loveandstyl insan vermont snow serious said doesnt exist
0.6882,2,farmer profit raw milk vegetable cart lucrative plus wine grape globalwarming barometer,farmer profit raw milk veget cart lucr plu wine grape globalwarm baromet
0.6485,0,profiteer obama administration,profit obama administr
0.3755,0,factor producer jesse watters caught vp al gore talk,factor produc jess watter caught vp al gore talk
0.4793,0,xharekx thats good article think statistic actually weak far,xharekx that good articl think statist actual weakest far
1.0,1,science whale fight,scienc whale fight
1.0,1,brooke green worry pop tart shield say disturbed report doesnt exist w,brook green worri pop tart shield say disturb report doesnt exist w
0.6613,2,glennbeck goldman ball sack sally freddie government gore tax capstone oil shit,glennbeck goldman ball sack salli freddi govern gore tax capston oil shit
0.6612,2,deejaykhalil yeah racism drug sex longer problem apparently cuz tv show preach hcr,deejaykhalil yeah racism drug sex longer problem appar cuz tv show preach hcr
0.6265,1,guyana flood control problem,guyana flood control problem
0.6745,1,cap trade trash climatechange legislation suffer major setback senate key,cap trade trash climatechang legisl suffer major setback senat key
0.7194,1,new york niriny present program navigate disclosure,new york nirini present program navig disclosur
0.6937,2,remains proper platform talk boer xinhua writer liu xiaoyan huang kun bonn german,remain proper platform talk boer xinhua writer liu xiaoyan huang kun bonn german
0.6537,1,gayaneadourian cause volcano video science,gayaneadourian caus volcano video scienc
0.6524,2,kevin grandia win webbys campaign year presti,kevin grandia win webbi campaign year presti
1.0,1,disastrous computer model prediction limit growth,disastr comput model predict limit growth
0.6895,2,tina gerhardt bolivia people conference call,tina gerhardt bolivia peopl confer call
0.6564,2,siegel scientific society revise statement science advance reason doubt,siegel scientif societi revis statement scienc advanc reason doubt
0.4905,0,link miss tornado forgotten snowpocalypse win argument,link miss tornado forgotten snowpocalyps win argument
0.7025,2,newsweek emotional,newsweek emot
0.6486,1,arctic adventurer set study,arctic adventur set studi
0.6788,2,graham back climatechange coalition supp introduce todayblow obozo tcot gop teaparty,graham back climatechang coalit supp introduc todayblow obozo tcot gop teaparti
0.4768,0,new post cloudy chance,new post cloudi chanc
0.5188,2,niriny present program navigate disclosure nyc,nirini present program navig disclosur nyc
0.6779999999999999,0,epa coverup walter e williams ftsn social,epa coverup walter e william ftsn social
0.6875,1,washington reuters president barack obamas priority tackle suffer sev,washington reuter presid barack obama prioriti tackl suffer sev
1.0,1,scary cause tropical illness bacteria appear non tropical area world,scari caus tropic ill bacteria appear non tropic area world
0.6724,2,dems push maybe addthis,dem push mayb addthi
1.0,2,obamas agenda turmoil lti,obama agenda turmoil lti
0.8212,2,decision time uk election youth mvmt,decis time uk elect youth mvmt
0.5067,1,usrealitycheck obamas agenda turmoil washington afp raw,usrealitycheck obama agenda turmoil washington afp raw
1.0,1,bryanrwalsh read im combat hard reading wait till yr pas carbon tax pleeze,bryanrwalsh read im combat hard read wait till yr pass carbon tax pleez
0.5101,0,im consider tell professor finish final paper poison lindseygrahamisatool,im consid tell professor finish final paper poison lindseygrahamisatool
0.7033,2,charter assembly social movement people conference indigenousissue,charter assembl social movement peopl confer indigenousissu
1.0,1,scientist turn inuit research,scientist turn inuit research
0.6642,0,million protest al gore tcot,million protest al gore tcot
1.0,0,marthastewart need rain fallinggardens field verdant blooming everythings wks ahead scheduleglobal,marthastewart need rain fallinggarden field verdant bloom everyth wk ahead scheduleglob
1.0,1,raysfreedomhash kuna indian prepare relocation traditional home sink indigenousissue,raysfreedomhash kuna indian prepar reloc tradit home sink indigenousissu
1.0,1,celebrate earth day watch rally dc online today sunday april,celebr earth day watch ralli dc onlin today sunday april
1.0,1,nprscience cleaner air actually intensify,nprscienc cleaner air actual intensifi
0.6792,1,year advocacy journalism,year advocaci journal
0.6785,2,lindsey graham bail st opportunity conveniently avoid lunatic party come,lindsey graham bail st opportun conveni avoid lunat parti come
0.6591,2,charter assembly social movement people conference indigenousissue,charter assembl social movement peopl confer indigenousissu
0.6634,2,americablog surprsie lindsey graham drop talk dems want bring immig p,americablog surprsi lindsey graham drop talk dem want bring immig p
0.6970000000000001,0,sustainable twerp think lindsey graham pull support legislation,sustain twerp think lindsey graham pull support legisl
0.6629,2,eruption volcano yield clue,erupt volcano yield clue
1.0,1,dk matai volcano earthquake linkeda thaw ice cap cause,dk matai volcano earthquak linkeda thaw ice cap caus
1.0,1,dk matai volcano earthquake linkeda thaw ice cap cause,dk matai volcano earthquak linkeda thaw ice cap caus
1.0,1,dk matai volcano earthquake link thaw ice cap come decade cause g,dk matai volcano earthquak link thaw ice cap come decad caus g
1.0,1,dk matai volcano earthquake link thaw ice cap come decade cause g,dk matai volcano earthquak link thaw ice cap come decad caus g
0.7123,2,timeline year environmental protect bald eagle copenhagen talk enviro,timelin year environment protect bald eagl copenhagen talk enviro
0.5534,1,california teamster oppose effort delay measurethe group major union,california teamster oppos effort delay measureth group major union
0.6507,1,california teamster oppose effort delay measurethe group major union,california teamster oppos effort delay measureth group major union
0.6667,0,thought liberal separation church state katyinindy whitehouse want church advance,thought liber separ church state katyinindi whitehous want church advanc
0.6845,2,watch tudor king henry monarchy good thing al gore wasnt,watch tudor king henri monarchi good thing al gore wasnt
0.6401,2,church yuval levin corner national review online,church yuval levin corner nation review onlin
0.6044,2,foxnews rino senator rip leftist scumbag reid shift focus immigration,foxnew rino senat rip leftist scumbag reid shift focu immigr
0.6583,1,major medium downplay international summit cochabamba thirstyboots,major media downplay intern summit cochabamba thirstyboot
0.7052,2,give polluter nuclear break washington reuters expect,give pollut nuclear break washington reuter expect
0.3687,0,freakonomics climategate victim state globalwarming problem walk angle,freakonom climateg victim state globalwarm problem walk angl
1.0,2,church yuval levin president bush create faithbased office white h,church yuval levin presid bush creat faithbas offic white h
1.0,1,greenpeace make wave agreement people world people conference,greenpeac make wave agreement peopl world peopl confer
0.7532,2,maybe instead worry shake slow march step jumprope,mayb instead worri shake slow march step jumprop
0.6338,0,publicpolicy agenda pursue little regard scientific fact public opinion globalwarming tax tcot,publicpolici agenda pursu littl regard scientif fact public opinion globalwarm tax tcot
0.6933,2,leaf em coldharrisburg weatherman rob dixon cool dire scenarioshe,leav em coldharrisburg weatherman rob dixon cool dire scenariosh
0.6399,1,win war kiddo florida nice didnt miss think newyorks wait r,win war kiddo florida nice didnt miss think newyork wait r
0.6809999999999999,1,rebecca solnit share good news bad news tomdispatch,rebecca solnit share good news bad news tomdispatch
0.6863,1,year old speaks palace theaterearth day come go fight,year old speak palac theaterearth day come gone fight
1.0,1,year old speaks palace theaterearth day come go fight,year old speak palac theaterearth day come gone fight
0.5892,1,stoplibs sillyelite statists dont cause great unwashed,stoplib sillyelit statist dont caus great unwash
1.0,1,photo environmental loss go gently,photo environment loss go gentli
0.6886,1,attractive nuisance judge help tackle,attract nuisanc judg help tackl
1.0,1,gazelle emami million ton tackle comedy premise million ton offoff b,gazel emami million ton tackl comedi premis million ton offoff b
0.5064,2,gazelle emami million ton tackle comedy premise million ton offoff b,gazel emami million ton tackl comedi premis million ton offoff b
0.6686,2,bad argument watch eyjafjallajokull edition,bad argument watch eyjafjallajokul edit
1.0,2,abc offer look skeptic downplays climategate,abc offer look skeptic downplay climateg
0.6931,2,buck world trend lack concern,buck world trend lack concern
0.6317,2,buck world trend lack concern,buck world trend lack concern
1.0,1,progress improve transparency environmental protection energy,progress improv transpar environment protect energi
0.6558,2,senate democratic source say legislation unlikely year,senat democrat sourc say legisl unlik year
0.6706,1,news corp aim carbon neutral fox news promotes hoax,news corp aim carbon neutral fox news promot hoax
0.6559,1,mark levin recommends great blunder corner,mark levin recommend great blunder corner
0.3463,1,shave beard darn,shave beard darn
0.6491,2,america midst blog thread lib troll chide stacy tcot,america midst blog thread lib troll chide staci tcot
0.6208,1,webmemo changethe united nation significant meeting,webmemo changeth unit nation signific meet
1.0,2,news corp aim carbon neutral end year fox news claim hoax,news corp aim carbon neutral end year fox news claim hoax
0.6833,2,whale poo fight yahoonews,whale poo fight yahoonew
0.5092,0,jake whitney hoax hoax skeptic sing victory song,jake whitney hoax hoax skeptic sing victori song
1.0,0,jake whitney hoax hoax skeptic sing victory song,jake whitney hoax hoax skeptic sing victori song
0.6512,1,whale poo save world warmingsave whale itll save say australian scientist,whale poo save world warmingsav whale itll save say australian scientist
1.0,1,whale poo save world warmingsave whale itll save say australian scientist,whale poo save world warmingsav whale itll save say australian scientist
1.0,1,new blog post compete complementary corporate financial disclosure rule liability,new blog post compet complementari corpor financi disclosur rule liabil
1.0,2,mediamentor democracynow coverage world people summit bolivia,mediamentor democracynow coverag world peopl summit bolivia
0.6899,2,democracy coverage world people summit bolivia,democraci coverag world peopl summit bolivia
1.0,1,bolivia conference demand b combat creation courttiquipaya bolivia,bolivia confer demand b combat creation courttiquipaya bolivia
0.6301,1,bolivia conference demand b combat creation courttiquipaya bolivia,bolivia confer demand b combat creation courttiquipaya bolivia
0.6533,2,capitalism dy mother earth dy true agenda display tcot gop teaparty,capit die mother earth die true agenda display tcot gop teaparti
1.0,2,religious issue,religi issu
0.6613,0,mmfa radio host sussman gore doesnt believe believe money fro p medium,mmfa radio host sussman gore doesnt believ believ money fro p media
0.5078,1,homelessness suck carteret island refugee earthday,homeless suck carteret island refuge earthday
1.0,1,stefanweitz yeha million orgs budget best spent advertising instead knowfighting chng,stefanweitz yeha million org budget best spent advertis instead knowfight chng
0.6924,0,avatar director great threat wwii jim leave reality tcot teaparty,avatar director great threat wwii jim leav realiti tcot teaparti
0.6769,2,activist bolivia prepare different kind summit,activist bolivia prepar differ kind summit
1.0,0,alarmist discredit wouldnt know rhetoric earth day agw,alarmist discredit wouldnt know rhetor earth day agw
0.6735,0,independent woman forum try suggest there debate legitimacy moron p tcot,independ women forum tri suggest there debat legitimaci moron p tcot
0.6634,1,new york reuters resident major world city cite press issue,new york reuter resid major world citi cite press issu
0.6416,1,iceland volcano blame iceland volcano eruption radio,iceland volcano blame iceland volcano erupt radio
0.6467,2,check video unravel egg string,check video unravel egg string
0.6295,0,plz digg rt coal ceo call safety rule silly p dnj du,plz digg rt coal ceo call safeti rule silli p dnj du
0.6679999999999999,1,win war lol rocketman,win war lol rocketman
1.0,1,happy earth day cfr guide offer background analysis,happi earth day cfr guid offer background analysi
1.0,1,climatecentrals ben strauss invite planet humble enviro ill,climatecentr ben strauss invit planet humbl enviro ill
1.0,2,declaration woman asia,declar women asia
0.7147,1,buen vivir people world conference,buen vivir peopl world confer
0.6591,1,own marklevinshow smack zealot earth day,own marklevinshow smack zealot earth day
0.6468,1,human health study bethesda md april upi national institute health say,human health studi bethesda md april upi nation institut health say
0.4644,1,davidcorndc clegg slap cameron club denier leadersdebate,davidcorndc clegg slap cameron club denier leadersdeb
0.6843,1,gordon brown nick clegg antiamericanism help leadersdebate,gordon brown nick clegg antiamerican help leadersdeb
1.0,1,pauljimerson world people conference right mother earth www orgbolivia,pauljimerson world peopl confer right mother earth www orgbolivia
0.6947,1,senator struggle compromise washington reuters senator write massive climatechange,senat struggl compromis washington reuter senat write massiv climatechang
0.6478,2,artist scientist discus art today cuny grad center organize earthinstitute earthday,artist scientist discuss art today cuni grad center organ earthinstitut earthday
1.0,2,rabbleca water war heart bolivia cochabamba wpccc,rabbleca water war heart bolivia cochabamba wpccc
0.7152,1,jason james center law consequence singleuse plastic bag law earthday,jason jame center law consequ singleus plastic bag law earthday
0.6757,1,film fete small step address reuters,film fete small step address reuter
1.0,1,ameliaceja happyearthday world people conference right mother earth,ameliaceja happyearthday world peopl confer right mother earth
0.6725,2,aaronsklar vcrow day people summit follow blog eco cop,aaronsklar vcrow day peopl summit follow blog eco cop
1.0,1,wwweltalentcom film fete small step address,wwweltalentcom film fete small step address
1.0,1,treemuseum earth day talk cuny pm pm illuminate science art artist scientist speak,treemuseum earth day talk cuni pm pm illumin scienc art artist scientist speak
0.6733,2,guardianeco picture thousand gather summit bolivia,guardianeco pictur thousand gather summit bolivia
0.6817,2,science attack narrative webinar union concerned scientist,scienc attack narr webinar union concern scientist
1.0,1,international water fair people conference right indigenousissue,intern water fair peopl confer right indigenousissu
0.7268,2,earth day talk cuny pm pm illuminate science art artist scientist speak,earth day talk cuni pm pm illumin scienc art artist scientist speak
0.6925,1,inhabitat nasa gift earth supercomputer,inhabitat nasa gift earth supercomput
1.0,1,maybe nasa isnt completely worthless globalwarming nasa solar dynamic observatory release,mayb nasa isnt complet worthless globalwarm nasa solar dynam observatori releas
0.6859999999999999,1,maybe nasa isnt completely worthless globalwarming nasa solar dynamic observatory release,mayb nasa isnt complet worthless globalwarm nasa solar dynam observatori releas
0.5755,1,gawker maybe nasa isnt completely worthless news,gawker mayb nasa isnt complet worthless news
0.6669,0,indigenistedtrls viola wilkins mother earth bolivian president blame capitalism camp,indigenistedtrl viola wilkin mother earth bolivian presid blame capit camp
0.7991,0,kokomoko wsj alarmist discredit wouldnt know rhetoric earth day,kokomoko wsj alarmist discredit wouldnt know rhetor earth day
0.6127,1,maybe nasa isnt completely worthless,mayb nasa isnt complet worthless
1.0,0,wsj alarmist discredit wouldnt know rhetoric earth day,wsj alarmist discredit wouldnt know rhetor earth day
0.6783,2,daggy remember soylent green base dead ocean require discovery algae substitute,daggi rememb soylent green base dead ocean requir discoveri alga substitut
0.4938,0,gotta head bed eyeball burningprobably ohmaybe shouldnt say earth day,gotta head bed eyebal burningprob ohmayb shouldnt said earth day
0.6755,2,moreland set green job boostvictorias minister yesterday met moreland retailer,moreland set green job boostvictoria minist yesterday met moreland retail
0.6082,1,moreland set green job boostvictorias minister yesterday met moreland retailer,moreland set green job boostvictoria minist yesterday met moreland retail
1.0,1,key fix chinaenergy secretary steven chu want way people think,key fix chinaenergi secretari steven chu want way peopl think
1.0,1,key fix chinaenergy secretary steven chu want way people think,key fix chinaenergi secretari steven chu want way peopl think
0.7078,1,great central post use baseball steroid way explain,great central post use basebal steroid way explain
0.6082,1,pomona host meetingpomona college host resident great los angeles area saturday,pomona host meetingpomona colleg host resid greater lo angel area saturday
0.6473,1,pomona host meetingpomona college host resident great los angeles area saturday,pomona host meetingpomona colleg host resid greater lo angel area saturday
0.8142,1,wire key fix china,wire key fix china
0.4783,1,wsj editorial today argues fight real natural disaster like tsunami manmade one like,wsj editori today argu fight real natur disast like tsunami manmad one like
1.0,1,wire key fix china socialmedia news,wire key fix china socialmedia news
0.6823,0,richard s lindzen science denial alarmist discredit wouldn,richard s lindzen scienc denial alarmist discredit wouldn
0.6774,2,key fix china energy secretary steven chu want way people think gl,key fix china energi secretari steven chu want way peopl think gl
1.0,1,attend tribeca film festival home documentary treehugger,attend tribeca film festiv home documentari treehugg
0.65,1,activist duchess york speaks royal marriage tv show,activist duchess york speak royal marriag tv show
1.0,2,democracynow cochabamba water war cmpcc,democracynow cochabamba water war cmpcc
0.6837,1,earthisland kidsvswarming world people conference right mother earth,earthisland kidsvswarm world peopl confer right mother earth
0.6995,1,actforclimate blog people conference cmpcc wpccc bolivia cochabamba,actforclim blog peopl confer cmpcc wpccc bolivia cochabamba
0.6343,2,elevator talk explain peak oil economic instability quick shot,elev talk explain peak oil econom instabl quick shot
0.6679999999999999,2,bolivia people conference kick opening ceremony video world people,bolivia peopl confer kick open ceremoni video world peopl
0.7083,1,democracynow cochabamba water war,democracynow cochabamba water war
0.6857,2,cochabamba water war,cochabamba water war
0.6387,1,barrett big problem action freeriding,barrett biggest problem action freerid
1.0,1,world black people coal mine,world black peopl coal mine
0.6786,1,put price people world conference cochabamba bolivia kick p,put price peopl world confer cochabamba bolivia kick p
0.6772,2,south perspective thereisawayjose amy goodman cochabamba water warsclimate green earthday,south perspect thereisawayjos ami goodman cochabamba water warsclim green earthday
0.6541,1,nasa launch supercomputer just time earth day new nasa datacrunching tool aim,nasa launch supercomput just time earth day new nasa datacrunch tool aim
1.0,2,people world conference week april people country,peopl world confer week april peopl countri
0.6529,1,ryebutler friend lili kandi mhawea kari checktheweather bolivia world people conference,ryebutl friend lili kandi mhawea kari checktheweath bolivia world peopl confer
1.0,1,make iceland volcano angry,make iceland volcano angri
0.4839,0,wtfsexfacts scientist say cause world ocean rise foot mean thing justin biebe,wtfsexfact scientist say caus world ocean rise feet mean thing justin bieb
1.0,1,greenpeace make wave greenpeace world people conference right mother earth,greenpeac make wave greenpeac world peopl confer right mother earth
0.6498,1,official process danger collapse unless country agree stop end ye break,offici process danger collaps unless countri agre stop end ye break
1.0,1,allergy bad blame timecom,allergi wors blame timecom
0.5065,0,acid ocean fraud eco,acid ocean fraud eco
1.0,1,aaronmorris havent heard,aaronmorri havent heard
0.3549,1,lizarddawg nonscience nonsense greed,lizarddawg nonscienc nonsens greed
0.478,0,impolitical vote accountability pass hoc tonight conservative wrong history voting,impolit vote account pass hoc tonight conserv wrong histori vote
0.4146,0,matthancockuk climatismanthropogenic religion,matthancockuk climatismanthropogen religion
0.3475,2,good vote ndp ban gmo seed angus plan compensate artist liberal enviro motion pass cdnpoli,good vote ndp ban gmo seed angu plan compens artist liber enviro motion pass cdnpoli
1.0,1,hurrah ndp pass report stage vote step closer real target stop cdnpoli,hurrah ndp pass report stage vote step closer real target stop cdnpoli
1.0,0,davidtheroux major study graph junk science bolivia teaparty yal c l tcot tlot,davidtheroux major studi graph junk scienc bolivia teaparti yal c l tcot tlot
1.0,0,graph attack study ice hockey stick temperature rise slam exaggerated,graph attack studi ice hockey stick temperatur rise slam exagger
1.0,1,proof,proof
1.0,1,noreenahertz mpondfieldhow afford tackle changegood read,noreenahertz mpondfieldhow afford tackl changegood read
1.0,1,ifcskn well monitor africa involve farmer data collex sustainability,ifcskn better monitor africa involv farmer data collex sustain
1.0,1,screw lunch wtf tomato burger russia,screw lunch wtf tomato burger russia
0.6813,0,climatebrad inslee safety silly,climatebrad insle safeti silli
0.3544,1,soulidified good news cow flatulence reduce greenhouse gas eco,soulidifi good news cow flatul reduc greenhous gass eco
0.361,2,miguel bible get f report card eco,miguel bibl get fs report card eco
1.0,1,clean air pollute community address,clean air pollut commun address
0.6529,1,ashlander jim mau need mil tell story monkey wine grape,ashland jim mau need mil tell stori monkey wine grape
1.0,1,likely worsen allergy maine,like worsen allergi main
1.0,1,ecointeractive environmental literature real solution real environmental problem large story,ecointeract environment literatur real solut real environment problem larger stori
0.6894,1,soundoff plantsuccess energy leadership conference afternoon talk manufac,soundoff plantsuccess energi leadership confer afternoon talk manufac
1.0,1,complete guide modern day,complet guid modern day
1.0,1,theagu cool earth day event illuminate science art week nyc organize earthinstitute,theagu cool earth day event illumin scienc art week nyc organ earthinstitut
0.6794,0,rtjudythpiazzayahoorsstypedatetimehash x d b john daily dump hoax huckabe,rtjudythpiazzayahoorsstypedatetimehash x d b john daili dump hoax huckab
0.6579,2,lwd definately go wrong planet nature way mmmm,lwd defin go wrong planet natur way mmmm
0.5996,1,day proof real climategate bunch hooey,day proof real climateg bunch hooey
1.0,1,baycitytimes think allergy bad wait kick michigan group say,baycitytim think allergi bad wait kick michigan group say
1.0,0,myronanderson green factdid know skeptic advocate agree,myronanderson green factdid know skeptic advoc agre
0.6939,0,think truly myth ive hat people year thought theyd warm idea,think truli myth ive hate peopl year thought theyd warm idea
0.6612,2,head marketing campaign new campaign head marketing campaign new nat,head market campaign new campaign head market campaign new nat
1.0,1,clothing industry start place yvon chouinard fortunegreen,cloth industri start place yvon chouinard fortunegreen
1.0,1,extreme allergy nwfs new report make spring sniffly,extrem allergi nwf new report make spring sniffli
1.0,1,world complete guide modern day,world complet guid modern day
1.0,2,rickwarren ecology base theologyglobal unclear god word isnt care creation command stewardship,rickwarren ecolog base theologyglob unclear god word isnt care creation command stewardship
0.6656,2,nettiewriter think change reason get bad grin,nettiewrit think chang reason get wors grin
1.0,0,gt v thanxhope u r enjoy weather b break get cold eh,gt v thanxhop u r enjoy weather b break get cold eh
0.6778,2,chapterfor american northeast winter rugged fairly cold,chapterfor american northeast winter rug fairli cold
0.6663,2,say scientist disagree significantly tcot agw,say scientist disagre significantli tcot agw
0.6427,1,complete guide modern day progress climatweets,complet guid modern day progress climatweet
0.6421,0,iconicearth true major solar power scam eco,iconicearth true major solar power scam eco
0.6681,2,redostoneage true major solar power scam eco,redostoneag true major solar power scam eco
0.6514,0,sweetfacecuttie damn lol,sweetfacecutti damn lol
0.6585,1,say quick stop chocolate melt,say quick stop chocol melt
1.0,2,buffalonyusnews blame game game fame eco,buffalonyusnew blame game game fame eco
0.643,1,realgtcarlosdelgado getlikemiike thing cycle specie philosophy religion business trade war,realgtcarlosdelgado getlikemiik thing cycl speci philosophi religion busi trade war
0.6229,1,east anglia uni email report clear wrongdoing st mention election call,east anglia uni email report clear wrongdo st mention elect call
0.5353,2,mattklewis andyroth help lindsey graham dems quietly move senate,mattklewi andyroth help lindsey graham dem quietli move senat
0.7018,1,wecanendpoverty hollywood star join politician bolivia cool summit guardiannews,wecanendpoverti hollywood star join politician bolivia cool summit guardiannew
1.0,0,help make great blunder bestseller currently ranked amazon nonfiction,help make great blunder bestsel current rank amazon nonfict
1.0,0,help lindsey graham democrat quietly move senate time worried,help lindsey graham democrat quietli move senat time worri
0.674,2,hisake need regional spring,hisak need region spring
1.0,0,jozzjonz manmade hoax al gore medium crony endlessly bleat g,jozzjonz manmad hoax al gore media croni endlessli bleat g
0.6585,1,hate,hate
